name,catch_copy,lead,description,works_url,movie_url,system_diagram_url
stuby,誰でも気楽に学習相談アプリ！,"異なる学校の人や、学年の人と学習を気軽に教え合える機会を提供するアプリです。
チャット機能やコミュニティ機能もついているので勉強を一緒にしたいと思える人たちと好きなだけ繋がることが出来ます。
","誰でも気楽に学習相談ができるアプリで、苦手な科目を克服したい人や、学びたい科目を同じ学生同士で教え合いたい、高め合いたい人に向けたアプリです。
ウリはお互いの苦手科目と得意科目が反対の人などが苦手な部分を補い合ってお互いに高めていけることです。
力を入れた部分はアプリのフロントエンドと自作のAPIです、できるだけユーザーが操作しやすいようにデザインしました。
ぜひ、一度目を通して欲しいです！！",,,
Foodera,流行してる料理や新しい料理の経験を簡単で探せるアプリ,食べ物の情報のみのSNS。余計な情報がないので迷うことなく、行きたい店や気になる店を探せるアプリ。,"私たち人間は、必ず食事をしなければなりませんが、食事の際に難しいのは、何を食べるかを選択することです！そのために、近所にどんな食べ物やお店があるのかがわかるように、近くの投稿機能をつけて、選ぶことができるようにしました。

インスタや食べログなどの他のアプリと比較すると、このアプリは、レストランや他のユーザーからの食べ物の投稿を簡単に見ることができ、気に入った投稿を見つけることができることに重点を置いています。また、気に入った投稿は、自分のライブラリに保存することができ、その投稿に登場する場所に行くことができます。",,,
まるはかり,調味料の残量を管理するIoT,自宅に保管している調味料や飲み物などの計測が可能な食品の残量を見える化し、買い忘れや消費期限切れによるフードロスを防止するサービス。,"調味料の買い忘れや消費期限切れに悩んだことはありませんか？「まるはかり」は、調味料の重量をIoTで計測し、見える化することで、これらの問題を解決します。

料理に取り組む家庭や調味料を買い忘れることで困っている方々、長期間使わずに調味料を無駄にしてしまう経験のある方々に最適なソリューションです。さらに、環境問題に関心はあるけれど行動に移せていない方々にもおすすめです。

「まるはかり」は、調味料の重量を計測し、ユーザーのスマートフォンに通知することで、買い忘れやフードロスを防止します。常に自宅の保管状況が把握できるため、必要な時に適切な量を購入し、調味料を無駄にすることなく効率的に使うことができます。

「まるはかり」を使って、買い忘れもフードロスもない快適な暮らしへの新たなステップを踏んでみませんか？",,,
ふぁむどっぐ,出会う。過ごす。暮らす。そして深まる。,人と保護動物が出会い。そして時間を共に過ごし。一緒に暮らす。そして絆が深まるマッチングアプリ。,"この作品は保護施設(保護動物)とペットを飼ってみたい人を巡り合わせるマッチングアプリです。
このアプリはある会社(架空)がしているサービスの１つで、他にはペット用品の販売・ペットサロンを経営しています。

ターゲットはペットを飼いたい人と里親を探している保護施設です。
まず施設側が保護動物の依頼フォームを作り、そのフォームを見て飼いたい人が応募する流れで、
強みはペットとの好感度が見れる機能。好感度の上がり方は施設側が出したミッションをクリアすると上がる仕組みで、全部クリアすると家族として迎え入れることができます。
他にもペット用品を購入できたり、ペットサロンの予約も行うことができます。

フォントや入力フォームは丸めのものにしており、丸くした理由は過去にいろんなことがあった保護動物を、里親や保護施設の人が優しく包み込んであげようという意味があります。

色はオレンジをベースにしており、家族の暖かさ・温もりを意味しています。",,,
Lend Me（レンドミー）,思い出の品で新たな思い出を、年代を越えて年中行事の発展を,押し入れに眠った思い出の品を年代を問わず貸し借りすることで、新たな思い出が生まれ今年中行事の発展に繋がる。,"季節行事のアイテムを使わなくなった人とレンタルしたい人のマッチングアプリ。
眠っている季節行事のアイテムを利益で産んだり出品できるサービス。

コンセプトは年中行事の発展

ターゲットは30代から40代の子持ち家族の年中行事のアイテムを持った人や年中行事のアイテムの処理に困った企業。

使用しなくなった行事道具の貸し借りサービスがウリ
力を入れた部分は、他のフリマアプリとの差別化とロゴのデザイン",,,
酒街,朝まで飲もう！ワクワクランダムマッチング,深夜営業をする居酒屋がリアルタイムでお客さんを募集して、お客さんがランダムに表示される店を選ぶサービス。選びきれない時のランダムガチャ機能も！,"深夜営業をする店と店を探すお客さんのマッチングサービスアプリ。
店側がリアルタイムで情報を掲載、客側は店の情報を見て、行く店を探せるサービスです。店はランダムに表示され、選びきれない場合ランダムガチャで店を選ぶこともできます。
サービスの強みは、スピード感や手軽さで1画面で店情報や雰囲気を確認できます。
他にも、単なる店の予約アプリでなくリアルタイムに混雑状況や店の状況が更新されるため、客側の「営業してる表示なのに閉店してた」「さっきは空いていたのに今きたら満席」などの不満の解消にも繋がります。
アプリデザインでは、深夜の落ち着き感や人が集まってくつろいで欲しい憩いの場に、という思い
を込めメインカラーに深い緑を使用しています。",,,
あにらぼ！,スキルを活かしてアニメを創り出すラボ、視聴者とコラボ。,アニメ業界の未来を発展させるマッチングアプリ。個人のスキルを活かして、一緒にアニメを制作するラボラトリー（研究室）、視聴者とコラボレーション。,"アニメ制作をしたい人が、マッチングするアプリです。ターゲットは、アニメ制作を仕事にしたい人です。アニメはイラスト制作やデザイン制作に比べ、多くのスキルが必要です。そこでアニメ制作をしたい人がマッチングをすることで、アニメを制作することができます。そうすることで個人のスキルや強みを活かすことができます。
また視聴者と制作者がマッチングすることで、制作者に視聴者が作品に対する感想を近い距離感で伝えることができます。
機能は、検索時にタグでフィルターをかけることで、制作中の作品や見たい作品を絞り込み検索ができます。視聴者が制作者に支援することで、視聴者がキャラクターとしてアニメに出演する等大手制作会社では行うことが難しいことでも可能です。",,,
Equal,LGBTQの方達と関心を持っている方気軽に相談し会える環境,LGBTQの人達同士が出会える確率を高くするために、利用者様の背中を後押し、最適な相談場所を提供します。LGBTQに該当しなく関心を持っている方とも相談できる場所を作り、互いに理解し合える環境づくりをします。アフターフォローも充実させ、定期的なフォローアップにより、サブスクリプションの契約を狙っていきます。,LGBTQの方達に寄り添ってサポートしていくサービスです。,,,
たんぽぽベーカリー,ずっと変わらないあたたかさを。〜SINCE 2003〜,"開店から20年、たんぽぽベーカリーがリニューアルします。
これからもずっと、できたてのおいしいパンをお届けするために・・・","「たんぽぽベーカリー」という夫婦で20年間営んでいる架空のパン屋さんのサイトです。
""お店のパンを愛してくれているお客さん"" や、""行ったことないという人"" に向けて作りました。
20年越しのリニューアルということで、ベージュをメインとした温かみのあるデザインにしました。ロゴもレトロかつ可愛いものになっています。
このサイトの強みは、お店のパンを食べてみたいという人のために、いちばん人気のカレーパンをはじめ、このお店で販売している商品の詳細を見ることができるところです。
力をいれた部分は「モーダルウィンドウ」の作成です。ぜひ、ご覧ください。",,,
たんぽぽベーカリー,懐かしさに、美味しいパンを寄せて。,２０周年を迎えたたんぽぽベーカリーから、リニューアルをする際に内装外装変更をすると同時にデザイン制作の依頼をいただいた。そこで、フライヤー、ポスター、映像制作をしました。,「２０周年」という節目にリニューアルされ、「少しレトロ」という依頼を受けました。そこで、レトロというものは何かを追求しつつ、今回の依頼にあったデザイン物を制作いたしました。動画に関して、「レトロ」という言葉ではどの年代なのかを意識することができないため、「５０代が営む」と書かれていたため、８０年代を想定した映像製作をいたしました。そこで、「静止画CM」ということに目をつけました。「レトロ」という言葉では言い表せない動画を制作いたしました。,,,
